Record_ID,Clustered_Barangay,Date,Day_of_Week,Time_of_Day,Weather_Condition,Population,Commercial_Activity_Score,Distance_to_City_Center_km,Tricycle_Passenger_Count,Enumerator_Name,Remarks
35,Cluster 3 (Dadiangas Central),2026-03-02,Monday,5:00PM-6:00PM,Sunny,35000,12,1.2,51,J. Dela Cruz,
36,Cluster 3 (Dadiangas Central),2026-03-02,Monday,6:00PM-7:00PM,Sunny,35000,12,1.2,56,J. Dela Cruz,
37,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,7:00AM-8:00AM,Rainy,19500,5,9.8,14,J. Dela Cruz,
38,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,8:00AM-9:00AM,Windy,19500,5,9.8,18,J. Dela Cruz,
39,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,9:00AM-10:00AM,Rainy,19500,5,9.8,12,J. Dela Cruz,
40,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,10:00AM-11:00AM,Sunny,19500,5,9.8,12,J. Dela Cruz,
41,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,11:00AM-12:00PM,Windy,19500,5,9.8,11,J. Dela Cruz,
42,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,12:00PM-1:00PM,Windy,19500,5,9.8,14,J. Dela Cruz,
43,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,1:00PM-2:00PM,Sunny,19500,5,9.8,12,J. Dela Cruz,
44,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,2:00PM-3:00PM,Stormy,19500,5,9.8,6,J. Dela Cruz,
45,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,3:00PM-4:00PM,Sunny,19500,5,9.8,12,J. Dela Cruz,
46,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,4:00PM-5:00PM,Sunny,19500,5,9.8,16,J. Dela Cruz,
47,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,5:00PM-6:00PM,Rainy,19500,5,9.8,14,J. Dela Cruz,
48,Cluster 4 (Apopong-Sinawal),2026-03-02,Monday,6:00PM-7:00PM,Sunny,19500,5,9.8,18,J. Dela Cruz,
49,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,7:00AM-8:00AM,Stormy,15200,4,12.5,7,J. Dela Cruz,
50,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,8:00AM-9:00AM,Stormy,15200,4,12.5,8,J. Dela Cruz,
51,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,9:00AM-10:00AM,Sunny,15200,4,12.5,12,J. Dela Cruz,
52,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,10:00AM-11:00AM,Windy,15200,4,12.5,9,J. Dela Cruz,
53,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,11:00AM-12:00PM,Sunny,15200,4,12.5,9,J. Dela Cruz,
54,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,12:00PM-1:00PM,Sunny,15200,4,12.5,10,J. Dela Cruz,
55,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,1:00PM-2:00PM,Sunny,15200,4,12.5,10,J. Dela Cruz,
56,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,2:00PM-3:00PM,Rainy,15200,4,12.5,6,J. Dela Cruz,
57,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,3:00PM-4:00PM,Sunny,15200,4,12.5,9,J. Dela Cruz,
58,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,4:00PM-5:00PM,Rainy,15200,4,12.5,9,J. Dela Cruz,
59,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,5:00PM-6:00PM,Sunny,15200,4,12.5,14,J. Dela Cruz,
60,Cluster 5 (Tambler-Siguel),2026-03-02,Monday,6:00PM-7:00PM,Windy,15200,4,12.5,12,J. Dela Cruz,
61,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,7:00AM-8:00AM,Rainy,22800,6,7.3,18,J. Dela Cruz,
62,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,8:00AM-9:00AM,Rainy,22800,6,7.3,19,J. Dela Cruz,
63,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,9:00AM-10:00AM,Sunny,22800,6,7.3,20,J. Dela Cruz,
64,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,10:00AM-11:00AM,Sunny,22800,6,7.3,18,J. Dela Cruz,
65,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,11:00AM-12:00PM,Rainy,22800,6,7.3,13,J. Dela Cruz,
66,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,12:00PM-1:00PM,Sunny,22800,6,7.3,16,J. Dela Cruz,
67,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,1:00PM-2:00PM,Rainy,22800,6,7.3,14,J. Dela Cruz,
68,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,2:00PM-3:00PM,Sunny,22800,6,7.3,16,J. Dela Cruz,
69,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,3:00PM-4:00PM,Sunny,22800,6,7.3,18,J. Dela Cruz,
70,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,4:00PM-5:00PM,Rainy,22800,6,7.3,14,J. Dela Cruz,
71,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,5:00PM-6:00PM,Sunny,22800,6,7.3,25,J. Dela Cruz,
72,Cluster 6 (Fatima-San Isidro),2026-03-02,Monday,6:00PM-7:00PM,Sunny,22800,6,7.3,25,J. Dela Cruz,
73,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,7:00AM-8:00AM,Sunny,42000,11,6.5,43,J. Dela Cruz,
74,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,8:00AM-9:00AM,Sunny,42000,11,6.5,50,J. Dela Cruz,
75,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,9:00AM-10:00AM,Sunny,42000,11,6.5,37,J. Dela Cruz,
76,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,10:00AM-11:00AM,Stormy,42000,11,6.5,16,J. Dela Cruz,
77,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,11:00AM-12:00PM,Sunny,42000,11,6.5,30,J. Dela Cruz,
78,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,12:00PM-1:00PM,Sunny,42000,11,6.5,32,J. Dela Cruz,
79,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,1:00PM-2:00PM,Sunny,42000,11,6.5,32,J. Dela Cruz,
80,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,2:00PM-3:00PM,Sunny,42000,11,6.5,28,J. Dela Cruz,
81,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,3:00PM-4:00PM,Sunny,42000,11,6.5,32,J. Dela Cruz,
82,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,4:00PM-5:00PM,Sunny,42000,11,6.5,40,J. Dela Cruz,
83,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,5:00PM-6:00PM,Rainy,42000,11,6.5,31,J. Dela Cruz,
84,Cluster 1 (Lagao-City Heights),2026-03-03,Tuesday,6:00PM-7:00PM,Sunny,42000,11,6.5,45,J. Dela Cruz,
85,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,7:00AM-8:00AM,Sunny,28500,7,4.0,30,J. Dela Cruz,
86,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,8:00AM-9:00AM,Stormy,28500,7,4.0,17,J. Dela Cruz,
87,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,9:00AM-10:00AM,Sunny,28500,7,4.0,28,J. Dela Cruz,
88,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,10:00AM-11:00AM,Rainy,28500,7,4.0,16,J. Dela Cruz,
89,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,11:00AM-12:00PM,Sunny,28500,7,4.0,21,J. Dela Cruz,
90,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,12:00PM-1:00PM,Sunny,28500,7,4.0,23,J. Dela Cruz,
91,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,1:00PM-2:00PM,Windy,28500,7,4.0,22,J. Dela Cruz,
92,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,2:00PM-3:00PM,Stormy,28500,7,4.0,10,J. Dela Cruz,
93,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,3:00PM-4:00PM,Sunny,28500,7,4.0,21,J. Dela Cruz,
94,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,4:00PM-5:00PM,Rainy,28500,7,4.0,18,J. Dela Cruz,
95,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,5:00PM-6:00PM,Sunny,28500,7,4.0,32,J. Dela Cruz,
96,Cluster 2 (Calumpang-Bula),2026-03-03,Tuesday,6:00PM-7:00PM,Sunny,28500,7,4.0,29,J. Dela Cruz,
97,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,7:00AM-8:00AM,Sunny,35000,12,1.2,58,J. Dela Cruz,
98,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,8:00AM-9:00AM,Sunny,35000,12,1.2,60,J. Dela Cruz,
99,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,9:00AM-10:00AM,Windy,35000,12,1.2,39,J. Dela Cruz,
100,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,10:00AM-11:00AM,Stormy,35000,12,1.2,20,J. Dela Cruz,
101,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,11:00AM-12:00PM,Stormy,35000,12,1.2,19,J. Dela Cruz,
102,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,12:00PM-1:00PM,Rainy,35000,12,1.2,27,J. Dela Cruz,
103,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,1:00PM-2:00PM,Sunny,35000,12,1.2,35,J. Dela Cruz,
104,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,2:00PM-3:00PM,Sunny,35000,12,1.2,32,J. Dela Cruz,
105,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,3:00PM-4:00PM,Sunny,35000,12,1.2,41,J. Dela Cruz,
106,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,4:00PM-5:00PM,Sunny,35000,12,1.2,46,J. Dela Cruz,
107,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,5:00PM-6:00PM,Sunny,35000,12,1.2,53,J. Dela Cruz,
108,Cluster 3 (Dadiangas Central),2026-03-03,Tuesday,6:00PM-7:00PM,Stormy,35000,12,1.2,28,J. Dela Cruz,
109,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,7:00AM-8:00AM,Windy,19500,5,9.8,19,J. Dela Cruz,
110,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,8:00AM-9:00AM,Sunny,19500,5,9.8,19,J. Dela Cruz,
111,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,9:00AM-10:00AM,Stormy,19500,5,9.8,8,J. Dela Cruz,
112,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,10:00AM-11:00AM,Sunny,19500,5,9.8,14,J. Dela Cruz,
113,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,11:00AM-12:00PM,Sunny,19500,5,9.8,13,J. Dela Cruz,
114,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,12:00PM-1:00PM,Sunny,19500,5,9.8,15,J. Dela Cruz,
115,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,1:00PM-2:00PM,Sunny,19500,5,9.8,14,J. Dela Cruz,
116,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,2:00PM-3:00PM,Sunny,19500,5,9.8,12,J. Dela Cruz,
117,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,3:00PM-4:00PM,Windy,19500,5,9.8,13,J. Dela Cruz,
118,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,4:00PM-5:00PM,Sunny,19500,5,9.8,14,J. Dela Cruz,
119,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,5:00PM-6:00PM,Rainy,19500,5,9.8,13,J. Dela Cruz,
120,Cluster 4 (Apopong-Sinawal),2026-03-03,Tuesday,6:00PM-7:00PM,Windy,19500,5,9.8,18,J. Dela Cruz,
121,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,7:00AM-8:00AM,Sunny,15200,4,12.5,14,J. Dela Cruz,
122,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,8:00AM-9:00AM,Sunny,15200,4,12.5,15,J. Dela Cruz,
123,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,9:00AM-10:00AM,Sunny,15200,4,12.5,12,J. Dela Cruz,
124,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,10:00AM-11:00AM,Sunny,15200,4,12.5,9,J. Dela Cruz,
125,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,11:00AM-12:00PM,Windy,15200,4,12.5,8,J. Dela Cruz,
126,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,12:00PM-1:00PM,Sunny,15200,4,12.5,10,J. Dela Cruz,
127,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,1:00PM-2:00PM,Sunny,15200,4,12.5,9,J. Dela Cruz,
128,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,2:00PM-3:00PM,Stormy,15200,4,12.5,5,J. Dela Cruz,
129,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,3:00PM-4:00PM,Sunny,15200,4,12.5,9,J. Dela Cruz,
130,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,4:00PM-5:00PM,Sunny,15200,4,12.5,12,J. Dela Cruz,
131,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,5:00PM-6:00PM,Rainy,15200,4,12.5,11,J. Dela Cruz,
132,Cluster 5 (Tambler-Siguel),2026-03-03,Tuesday,6:00PM-7:00PM,Sunny,15200,4,12.5,12,J. Dela Cruz,
133,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,7:00AM-8:00AM,Rainy,22800,6,7.3,19,J. Dela Cruz,
134,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,8:00AM-9:00AM,Windy,22800,6,7.3,26,J. Dela Cruz,
135,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,9:00AM-10:00AM,Windy,22800,6,7.3,18,J. Dela Cruz,
136,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,10:00AM-11:00AM,Rainy,22800,6,7.3,12,J. Dela Cruz,
137,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,11:00AM-12:00PM,Windy,22800,6,7.3,16,J. Dela Cruz,
138,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,12:00PM-1:00PM,Sunny,22800,6,7.3,16,J. Dela Cruz,
139,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,1:00PM-2:00PM,Sunny,22800,6,7.3,17,J. Dela Cruz,
140,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,2:00PM-3:00PM,Sunny,22800,6,7.3,16,J. Dela Cruz,
141,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,3:00PM-4:00PM,Windy,22800,6,7.3,15,J. Dela Cruz,
142,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,4:00PM-5:00PM,Windy,22800,6,7.3,18,J. Dela Cruz,
143,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,5:00PM-6:00PM,Sunny,22800,6,7.3,26,J. Dela Cruz,
144,Cluster 6 (Fatima-San Isidro),2026-03-03,Tuesday,6:00PM-7:00PM,Rainy,22800,6,7.3,16,J. Dela Cruz,
145,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,7:00AM-8:00AM,Sunny,42000,11,6.5,44,J. Dela Cruz,
146,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,8:00AM-9:00AM,Sunny,42000,11,6.5,50,J. Dela Cruz,
147,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,9:00AM-10:00AM,Windy,42000,11,6.5,35,J. Dela Cruz,
148,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,10:00AM-11:00AM,Windy,42000,11,6.5,30,J. Dela Cruz,
149,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,11:00AM-12:00PM,Sunny,42000,11,6.5,27,J. Dela Cruz,
150,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,12:00PM-1:00PM,Sunny,42000,11,6.5,36,J. Dela Cruz,
151,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,1:00PM-2:00PM,Rainy,42000,11,6.5,24,J. Dela Cruz,
152,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,2:00PM-3:00PM,Rainy,42000,11,6.5,23,J. Dela Cruz,
153,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,3:00PM-4:00PM,Sunny,42000,11,6.5,29,J. Dela Cruz,
154,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,4:00PM-5:00PM,Sunny,42000,11,6.5,40,J. Dela Cruz,
155,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,5:00PM-6:00PM,Rainy,42000,11,6.5,37,J. Dela Cruz,
156,Cluster 1 (Lagao-City Heights),2026-03-04,Wednesday,6:00PM-7:00PM,Rainy,42000,11,6.5,31,J. Dela Cruz,
157,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,7:00AM-8:00AM,Sunny,28500,7,4.0,29,J. Dela Cruz,
158,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,8:00AM-9:00AM,Rainy,28500,7,4.0,27,J. Dela Cruz,
159,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,9:00AM-10:00AM,Sunny,28500,7,4.0,28,J. Dela Cruz,
160,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,10:00AM-11:00AM,Sunny,28500,7,4.0,24,J. Dela Cruz,
161,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,11:00AM-12:00PM,Rainy,28500,7,4.0,17,J. Dela Cruz,
162,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,12:00PM-1:00PM,Rainy,28500,7,4.0,19,J. Dela Cruz,
163,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,1:00PM-2:00PM,Sunny,28500,7,4.0,23,J. Dela Cruz,
164,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,2:00PM-3:00PM,Sunny,28500,7,4.0,23,J. Dela Cruz,
165,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,3:00PM-4:00PM,Rainy,28500,7,4.0,18,J. Dela Cruz,
166,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,4:00PM-5:00PM,Rainy,28500,7,4.0,18,J. Dela Cruz,
167,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,5:00PM-6:00PM,Rainy,28500,7,4.0,22,J. Dela Cruz,
168,Cluster 2 (Calumpang-Bula),2026-03-04,Wednesday,6:00PM-7:00PM,Rainy,28500,7,4.0,25,J. Dela Cruz,
169,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,7:00AM-8:00AM,Sunny,35000,12,1.2,57,J. Dela Cruz,
170,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,8:00AM-9:00AM,Sunny,35000,12,1.2,53,J. Dela Cruz,
171,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,9:00AM-10:00AM,Rainy,35000,12,1.2,32,J. Dela Cruz,
172,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,10:00AM-11:00AM,Sunny,35000,12,1.2,35,J. Dela Cruz,
173,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,11:00AM-12:00PM,Sunny,35000,12,1.2,38,J. Dela Cruz,
174,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,12:00PM-1:00PM,Stormy,35000,12,1.2,19,J. Dela Cruz,
175,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,1:00PM-2:00PM,Windy,35000,12,1.2,35,J. Dela Cruz,
176,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,2:00PM-3:00PM,Stormy,35000,12,1.2,18,J. Dela Cruz,
177,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,3:00PM-4:00PM,Stormy,35000,12,1.2,17,J. Dela Cruz,
178,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,4:00PM-5:00PM,Stormy,35000,12,1.2,20,J. Dela Cruz,
179,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,5:00PM-6:00PM,Stormy,35000,12,1.2,26,J. Dela Cruz,
180,Cluster 3 (Dadiangas Central),2026-03-04,Wednesday,6:00PM-7:00PM,Sunny,35000,12,1.2,51,J. Dela Cruz,
181,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,7:00AM-8:00AM,Windy,19500,5,9.8,17,J. Dela Cruz,
182,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,8:00AM-9:00AM,Windy,19500,5,9.8,19,J. Dela Cruz,
183,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,9:00AM-10:00AM,Sunny,19500,5,9.8,16,J. Dela Cruz,
184,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,10:00AM-11:00AM,Sunny,19500,5,9.8,14,J. Dela Cruz,
185,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,11:00AM-12:00PM,Sunny,19500,5,9.8,13,J. Dela Cruz,
186,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,12:00PM-1:00PM,Sunny,19500,5,9.8,14,J. Dela Cruz,
187,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,1:00PM-2:00PM,Windy,19500,5,9.8,13,J. Dela Cruz,
188,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,2:00PM-3:00PM,Sunny,19500,5,9.8,11,J. Dela Cruz,
189,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,3:00PM-4:00PM,Windy,19500,5,9.8,12,J. Dela Cruz,
190,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,4:00PM-5:00PM,Sunny,19500,5,9.8,16,J. Dela Cruz,
191,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,5:00PM-6:00PM,Windy,19500,5,9.8,17,J. Dela Cruz,
192,Cluster 4 (Apopong-Sinawal),2026-03-04,Wednesday,6:00PM-7:00PM,Sunny,19500,5,9.8,18,J. Dela Cruz,
193,Cluster 5 (Tambler-Siguel),2026-03-04,Wednesday,7:00AM-8:00AM,Sunny,15200,4,12.5,13,J. Dela Cruz,
